0,1,2
"20 Dec 2022, 22:58",Vivendo do Ócio,Nostalgia
"20 Dec 2022, 22:55",zimbra,Último Dia (Me Lembra)
"20 Dec 2022, 22:51",The Killers,When You Were Young
"20 Dec 2022, 22:49",The White Stripes,Fell in Love With a Girl
"20 Dec 2022, 22:45",Ghost,Mary on a Cross
"20 Dec 2022, 22:41",Franz Ferdinand,No You Girls
"20 Dec 2022, 22:39",Klaxons,Golden Skans
"20 Dec 2022, 22:35",Franz Ferdinand,Take Me Out
"20 Dec 2022, 22:32",Charlie Puth,I Don’t Think That I Like Her
"20 Dec 2022, 18:57",Rusty Machines,Forget You
"20 Dec 2022, 18:55",Almost Monday,cough drops
"20 Dec 2022, 18:52",Lowertown,Debris
"20 Dec 2022, 18:48",Vista Kicks,Gotta Get Away
"20 Dec 2022, 18:45",Wild Nothing,Ride
"20 Dec 2022, 18:39",Pond,Holding Out For You
"20 Dec 2022, 18:35",Radiohead,All I Need
"20 Dec 2022, 18:31",Próxima Parada,Musta Been a Ghost
"20 Dec 2022, 18:29",Sam Fender,Spice
"20 Dec 2022, 18:25",Do Nothing,Handshakes
"20 Dec 2022, 18:21",Wunderhorse,Teal
"20 Dec 2022, 17:26",Louis Armstrong,Lazy River
"20 Dec 2022, 17:24",Julie London,Show Me the Way to Go Home
"20 Dec 2022, 17:19",Chet Baker,Born To Be Blue
"20 Dec 2022, 14:20",John Coltrane,My Favorite Things
"20 Dec 2022, 14:15",Wes Montgomery,Polka Dots and Moonbeams
"20 Dec 2022, 14:08",Deu Ruim,Wayne Shorter - Infant Eyes - Remastered1998/Rudy Van Gelder Edition
"20 Dec 2022, 14:05",Deu Ruim,Wayne Newton - L-O-V-E - Remastered
"20 Dec 2022, 13:58",Lou Donaldson,Autumn Nocturne
"20 Dec 2022, 13:55",Louis Armstrong,C'est si bon
"20 Dec 2022, 13:51",Blossom Dearie,Tea for Two
"20 Dec 2022, 13:49",Margaret Whiting,You Couldn't Be Cuter
"20 Dec 2022, 13:46",Julie London,I'm Glad There Is You
"20 Dec 2022, 13:41",Deu Ruim,Pete La Roca - Lazy Afternoon - Remastered 2004
"20 Dec 2022, 13:38",Nat King Cole,Smile
"20 Dec 2022, 13:34",Deu Ruim,Louis Armstrong - La Vie En Rose - Single Version
"20 Dec 2022, 13:28",Ella Fitzgerald,Autumn In New York
"20 Dec 2022, 13:22",Bill Evans Trio,My Foolish Heart
"20 Dec 2022, 13:19",Bobby Darin,Beyond the Sea
"20 Dec 2022, 13:17",Julie London,Blue Moon
"20 Dec 2022, 01:40",Fats Waller,Two Sleepy People
"20 Dec 2022, 01:37",Blossom Dearie,'Deed I Do
"20 Dec 2022, 01:33",Louis Armstrong,A Kiss to Build a Dream On
"20 Dec 2022, 01:26",Jacob Collier,Feel (feat. Lianne La Havas)
"20 Dec 2022, 01:23",Eartha Kitt,Let's Do It
"20 Dec 2022, 01:20",Chet Baker,I Fall in Love Too Easily
"20 Dec 2022, 01:17",Etta James,Stormy Weather
"20 Dec 2022, 01:13",Billie Holiday,Blue Moon
"20 Dec 2022, 01:07",Deu Ruim,Bill Evans Trio - Porgy (I Loves You Porgy) - Outtake
"20 Dec 2022, 01:05",Frank Sinatra,Fly Me to the Moon
"20 Dec 2022, 01:00",Oscar Peterson Trio,Triste
"20 Dec 2022, 00:55",Duke Ellington,In A Sentimental Mood
"20 Dec 2022, 00:54",Ella Fitzgerald,All Of You
"20 Dec 2022, 00:50",Deu Ruim,Louis Armstrong - La Vie En Rose - Single Version
"20 Dec 2022, 00:48",Dinah Washington,September in the Rain
"20 Dec 2022, 00:40",Peggy Lee,Alone Together
"20 Dec 2022, 00:33",John Coltrane,Blue World
"20 Dec 2022, 00:31",Deu Ruim,Frank Sinatra - My Funny Valentine - Remastered
"20 Dec 2022, 00:28",Julie London,I'm in the Mood for Love
"20 Dec 2022, 00:25",Deu Ruim,Nina Simone - My Baby Just Cares for Me - 2013 Remastered Version
"20 Dec 2022, 00:22",The Mills Brothers,You Always Hurt The One You Love
"20 Dec 2022, 00:19",Billie Holiday,All Of Me
"20 Dec 2022, 00:16",Ella Fitzgerald,Let's Fall In Love
"20 Dec 2022, 00:12",Louis Armstrong,Dream a Little Dream of Me
"20 Dec 2022, 00:08",Red Hot Chili Peppers,Californication
"19 Dec 2022, 22:43",Louis Armstrong,Dream a Little Dream of Me
"19 Dec 2022, 22:41",Deu Ruim,The Beatles - Blackbird - Remastered 2009
"19 Dec 2022, 22:37",Rihanna,Love on the Brain
"19 Dec 2022, 22:35",Sharon Jones & The Dap-Kings,Making Up And Breaking Up (And Making Up And Breaking Up Over Again)
"19 Dec 2022, 22:32",Amy Winehouse,He Can Only Hold Her
"19 Dec 2022, 22:28",Deu Ruim,"Amy Winehouse - Valerie - Live At BBC Radio 1 Live Lounge, London / 2007"
"19 Dec 2022, 22:25",Charlie Puth,I Don’t Think That I Like Her
"19 Dec 2022, 22:10",Maria Becerra,No Eres Tu Soy Yo (feat. Danny Ocean)
"19 Dec 2022, 22:06",BENEE,Beach Boy
"19 Dec 2022, 22:04",Chris James,The Reminder
"19 Dec 2022, 22:01",Coin,Cutie
"19 Dec 2022, 21:58",Lauv,26
"19 Dec 2022, 21:55",Tame Impala,Feels Like We Only Go Backwards
"19 Dec 2022, 21:49",Pearl Jam,Black
"19 Dec 2022, 21:46",Kid Freud,Can't Take My Eyes Off You
"19 Dec 2022, 21:43",Joy Division,Love Will Tear Us Apart
"19 Dec 2022, 21:39",Cage the Elephant,Cold Cold Cold
"19 Dec 2022, 21:36",twenty one pilots,House of Gold
"19 Dec 2022, 21:33",The Killers,Somebody Told Me
"19 Dec 2022, 21:28",Kansas,Carry on Wayward Son
"19 Dec 2022, 21:25",Till,Find My Way
"19 Dec 2022, 21:21",jambu,Falso Realismo
"19 Dec 2022, 21:18",Seu Pereira e Coletivo 401,Menina E. T.
"19 Dec 2022, 21:14",Maglore,Vira-Lata
"19 Dec 2022, 21:09",O Terno,Pra Sempre Será
"19 Dec 2022, 21:05",Blue Öyster Cult,Then Came the Last Days of May
"19 Dec 2022, 20:59",Marcello Gugu,Indireta
"19 Dec 2022, 20:54",Black Sabbath,Changes
"19 Dec 2022, 20:51",Jovem Dionisio,Amigos Até Certa Instância
"19 Dec 2022, 20:48",Saudade,vou-me embora de mim
"19 Dec 2022, 19:06",Deu Ruim,Miguel - waves - Tame Impala Remix
"19 Dec 2022, 19:02",Deu Ruim,JVKE - golden hour - Jungle Remix
